,age,sex
399,5.0,1
400,18.6,1
401,61.4,0
402,27.3,1
403,19.5,0
404,21.7,0
405,36.7,0
406,22.7,0
407,32.6,0
408,5.6,0
409,34.5,0
410,33.0,1
411,18.5,1
412,17.1,1
413,17.6,1
414,25.6,0
415,17.7,1
416,17.2,1
417,16.6,1
418,16.6,1
419,16.4,1
420,16.6,1
421,16.3,1
422,17.2,1
423,16.7,1
424,17.8,1
425,15.6,1
426,16.2,1
427,16.7,1
428,16.6,1
429,18.6,0
430,17.1,1
431,17.6,1
432,10.8,1
433,16.0,1
434,16.1,1
435,15.2,1
436,41.6,1
437,15.8,1
438,18.8,1
439,15.6,1
440,24.1,0
441,16.9,1
442,16.2,1
443,16.7,1
444,16.6,1
445,15.1,1
446,15.0,1
447,43.7,0
448,18.6,1
449,15.8,1
450,16.7,1
451,16.8,1
452,15.4,1
453,31.2,1
454,17.4,1
455,30.7,0
456,16.6,1
457,14.7,1
458,16.6,1
459,0.9,0
460,17.6,1
461,17.0,1
462,14.3,1
463,16.8,1
464,16.6,1
465,16.5,1
466,16.6,1
467,16.6,1
468,16.6,1
469,16.6,1
470,17.4,1
471,15.3,1
472,12.0,1
473,18.0,1
474,17.3,1
475,17.7,1
476,15.7,1
477,16.4,1
478,15.8,1
479,16.7,1
480,16.7,1
481,15.6,1
482,12.0,1
483,15.5,1
484,13.6,1
485,15.7,1
486,14.3,1
487,16.4,1
488,14.3,1
489,16.9,1
490,20.0,1
491,15.7,1
492,17.1,1
493,61.5,1
494,16.8,1
495,15.8,1
496,14.7,1
497,19.7,1
498,14.2,1
499,17.3,1
500,17.5,1
501,15.5,1
502,17.0,1
503,15.2,1
504,17.0,1
505,16.0,1
506,16.8,1
507,16.9,1
508,31.6,1
509,31.6,1
510,16.7,1
511,17.8,1
512,15.8,1
513,17.8,1
514,14.9,1
515,15.2,1
516,17.4,1
517,20.3,1
518,20.5,1
519,40.7,0
520,19.0,1
521,15.9,1
522,31.5,1
523,27.6,0
524,24.8,1
525,3.8,1
526,17.4,1
527,0.1,1
528,24.8,1
529,31.2,1
530,48.2,0
531,42.2,0
532,0.9,0
533,17.0,1
534,15.7,1
535,28.3,0
536,21.6,1
537,21.7,1
538,2.0,0
539,13.8,1
540,23.8,1
541,11.8,1
542,16.1,1
543,27.2,0
544,15.7,1
545,7.7,1
546,16.0,1
547,6.8,1
548,27.7,1
549,9.9,0
550,24.6,1
551,25.9,1
552,27.2,1
553,39.7,1
554,41.6,0
555,21.0,1
556,20.0,1
557,34.1,1
558,25.8,1
559,16.2,1
560,25.9,1
561,28.1,1
562,3.6,1
563,28.8,1
564,22.8,1
565,30.0,1
566,40.6,1
567,21.2,1
568,33.1,1
569,41.6,1
570,16.1,1
571,20.4,1
572,26.8,1
573,13.0,1
574,34.9,1
575,29.8,1
576,24.6,1
577,21.6,1
578,20.8,1
579,22.2,1
580,26.6,1
581,30.7,1
582,21.9,1
583,25.4,1
584,23.4,1
585,32.0,0
586,19.3,1
587,20.9,1
588,21.8,1
589,2.5,0
590,33.9,1
591,34.6,1
592,4.1,0
593,18.7,1
594,19.6,1
595,24.0,1
596,37.7,1
597,20.1,1
598,18.6,1
599,27.1,1
600,30.8,1
601,18.9,0
602,18.9,1
603,19.8,1
604,32.6,1
605,20.8,1
606,25.7,0
607,30.7,0
608,23.5,1
609,18.6,1
610,25.9,1
611,0.2,0
612,34.6,1
613,5.2,1
614,31.7,1
615,17.6,1
616,35.6,0
617,18.7,1
618,24.7,1
619,22.4,0
620,18.9,1
621,36.3,1
622,36.7,1
623,15.6,1
624,34.5,0
625,37.7,1
626,57.1,0
627,50.1,0
628,23.5,1
629,18.5,0
630,18.6,1
631,18.7,0
632,18.7,1
633,19.9,0
634,41.6,1
635,23.6,1
636,1.3,0
637,27.8,1
638,26.9,0
639,22.1,1
640,58.1,1
641,31.7,0
642,38.7,0
643,50.7,1
644,49.6,1
645,42.9,0
646,13.8,1
647,26.0,1
648,22.7,1
649,23.6,1
650,31.6,1
651,21.7,1
652,3.7,0
653,43.8,1
