,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,T_index,Time
127,1,1,1,29,47,1,8466,162,34938,128
128,1,1,1,27,46,1,8469,162,34941,129
129,1,1,1,25,45,1,8472,162,34944,130
130,1,1,1,23,42,1,8477,162,34949,131
131,1,1,1,22,40,1,8480,162,34952,132
132,1,1,1,21,38,1,8483,162,34955,133
133,1,1,1,21,36,1,8485,162,34957,134
134,1,1,1,20,31,1,8491,162,34963,135
135,1,1,1,17,30,1,8495,162,34967,136
136,1,1,1,17,27,1,8498,162,34970,137
137,1,1,1,17,22,1,8503,162,34975,138
138,1,1,1,16,22,1,8504,162,34976,139
139,1,1,1,16,21,1,8505,162,34977,140
140,1,1,1,16,20,1,8506,162,34978,141
141,1,1,1,15,20,1,8507,162,34979,142
142,1,1,1,15,19,1,8508,162,34980,143
143,1,1,1,15,18,1,8509,162,34981,144
144,1,1,1,15,17,1,8510,162,34982,145
145,1,1,1,14,17,1,8511,162,34983,146
146,1,1,1,14,16,1,8512,162,34984,147
147,1,1,1,13,16,1,8513,162,34985,148
148,1,1,1,12,14,1,8516,162,34988,149
149,1,1,1,12,13,1,8517,162,34989,150
150,1,1,1,9,13,1,8520,162,34992,151
151,1,1,1,9,10,1,8523,162,34995,152
152,1,1,1,9,8,1,8525,162,34997,153
153,1,1,1,8,8,1,8526,162,34998,154
154,1,1,1,8,6,1,8528,162,35000,155
155,1,1,1,7,6,1,8529,162,35001,156
156,1,1,1,7,5,1,8530,162,35002,157
157,1,1,1,6,5,1,8531,162,35003,158
158,1,1,1,5,5,1,8532,162,35004,159
159,1,1,1,5,4,1,8533,162,35005,160
160,1,1,1,4,4,1,8534,162,35006,161
161,1,1,1,3,4,1,8535,162,35007,162
162,1,1,1,3,3,1,8536,162,35008,163
163,1,1,1,3,2,1,8537,162,35009,164
164,1,1,1,3,1,1,8538,162,35010,165
165,1,1,1,2,1,1,8539,162,35011,166
166,1,1,1,1,1,1,8540,162,35012,167
167,1,1,1,1,1,1,8540,162,35013,168
168,1,1,1,1,1,1,8540,162,35014,169
169,1,1,1,1,1,1,8540,162,35015,170
170,1,1,1,1,1,1,8540,162,35016,171
171,1,1,1,1,1,1,8540,162,35017,172
172,1,1,1,1,1,1,8540,162,35018,173
173,1,1,1,1,1,1,8540,162,35019,174
174,1,1,1,1,1,1,8540,162,35020,175
175,1,1,1,1,1,1,8540,162,35021,176
176,1,1,1,1,1,1,8540,162,35022,177
177,1,1,1,1,1,1,8540,162,35023,178
178,1,1,1,1,1,1,8540,162,35024,179
179,1,1,1,1,1,1,8540,162,35025,180
180,1,1,1,1,1,1,8540,162,35026,181
181,1,1,1,1,1,1,8540,162,35027,182
182,1,1,1,1,1,1,8540,162,35028,183
183,1,1,1,1,1,1,8540,162,35029,184
184,1,1,1,1,1,1,8540,162,35030,185
185,1,1,1,1,1,1,8540,162,35031,186
186,1,1,1,1,1,1,8540,162,35032,187
187,1,1,1,1,1,1,8540,162,35033,188
188,1,1,1,1,1,1,8540,162,35034,189
189,1,1,1,1,1,1,8540,162,35035,190
190,1,1,1,1,1,1,8540,162,35036,191
191,1,1,1,1,1,1,8540,162,35037,192
192,1,1,1,1,1,1,8540,162,35038,193
193,1,1,1,1,1,1,8540,162,35039,194
194,1,1,1,1,1,1,8540,162,35040,195
195,1,1,1,1,1,1,8540,162,35041,196
196,1,1,1,1,1,1,8540,162,35042,197
197,1,1,1,1,1,1,8540,162,35043,198
198,1,1,1,1,1,1,8540,162,35044,199
199,1,1,1,1,1,1,8540,162,35045,200
